Timestamp,EA
1758282334.030531,0.226825
1758282334.097531,0.226766
1758282334.164031,0.226442
1758282334.230531,0.226530
1758282334.297531,0.226700
1758282334.364031,0.226641
1758282334.430531,0.226582
1758282334.497030,0.226376
1758282334.563530,0.226530
1758282334.630530,0.226515
1758282334.697030,0.226479
1758282334.763530,0.226545
1758282334.830530,0.226442
1758282334.897030,0.226390
1758282334.963530,0.226523
1758282335.030530,0.226368
1758282335.097030,0.226265
1758282335.163530,0.225979
1758282335.230530,0.226096
1758282335.297030,0.225884
1758282335.363530,0.225759
1758282335.430530,0.225708
1758282335.497530,0.225935
1758282335.563529,0.225884
1758282335.630530,0.225599
1758282335.697530,0.225628
1758282335.763530,0.225635
1758282335.830529,0.225686
1758282335.897529,0.225591
1758282335.963529,0.225409
1758282336.030529,0.225591
1758282336.097529,0.225307
1758282336.163529,0.225285
1758282336.230529,0.225074
1758282336.297529,0.225161
1758282336.363529,0.225249
1758282336.430529,0.224972
1758282336.497529,0.224914
1758282336.563529,0.225052
1758282336.630529,0.224856
1758282336.697529,0.224885
1758282336.763529,0.224870
1758282336.830528,0.224907
1758282336.897528,0.224929
1758282336.963528,0.224914
1758282337.030028,0.224798
1758282337.096528,0.224725
1758282337.163528,0.224646
1758282337.230528,0.224704
1758282337.296528,0.224841
1758282337.363528,0.224972
1758282337.430528,0.224878
1758282337.496528,0.224994
1758282337.563528,0.224994
1758282337.630528,0.225067
1758282337.696528,0.225256
1758282337.763528,0.225489
1758282337.830528,0.225372
1758282337.896528,0.225387
1758282337.963527,0.225796
1758282338.030527,0.225789
1758282338.096527,0.225767
1758282338.163527,0.225745
1758282338.230527,0.225767
1758282338.296527,0.226045
1758282338.363527,0.226376
1758282338.430527,0.226133
1758282338.496527,0.225979
1758282338.563527,0.226243
1758282338.630527,0.226280
1758282338.696527,0.226309
1758282338.763527,0.226265
1758282338.830527,0.226236
1758282338.896527,0.226214
1758282338.963526,0.226324
1758282339.030526,0.226434
1758282339.096526,0.226390
1758282339.163526,0.226751
1758282339.230526,0.227003
1758282339.296526,0.227202
1758282339.363526,0.227351
1758282339.430526,0.227603
1758282339.497026,0.227894
1758282339.563526,0.228095
1758282339.630526,0.228282
1758282339.697026,0.228327
1758282339.763526,0.228641
1758282339.830526,0.228912
1758282339.897026,0.229168
1758282339.963526,0.229598
1758282340.030525,0.230167
1758282340.097025,0.230624
1758282340.163525,0.231298
1758282340.229525,0.232030
1758282340.296525,0.232891
1758282340.363525,0.233633
1758282340.430025,0.234632
1758282340.496525,0.235712
1758282340.563525,0.237108
1758282340.630025,0.238463
1758282340.696525,0.240430
1758282340.763525,0.242869
1758282340.830025,0.245202
1758282340.896525,0.248792
1758282340.963525,0.252553
1758282341.030025,0.255470
1758282341.096524,0.260397
1758282341.163524,0.267598
1758282341.230024,0.273997
1758282341.296524,0.278721
1758282341.363524,0.282496
1758282341.430024,0.285155
1758282341.496524,0.288425
1758282341.563524,0.292433
1758282341.630024,0.297629
1758282341.696524,0.304232
1758282341.763524,0.314490
1758282341.830024,0.324812
1758282341.896524,0.331536
1758282341.963524,0.336565
1758282342.030024,0.340896
1758282342.096524,0.345511
1758282342.163524,0.350535
1758282342.230024,0.359285
1758282342.296524,0.370343
1758282342.363523,0.377916
1758282342.430023,0.383914
1758282342.496523,0.390498
1758282342.563023,0.396431
1758282342.629523,0.402082
1758282342.696523,0.407181
1758282342.763023,0.412265
1758282342.829523,0.416554
1758282342.896523,0.421111
1758282342.963023,0.426996
1758282343.029523,0.432348
1758282343.096523,0.438167
1758282343.163023,0.443438
1758282343.229523,0.449968
1758282343.296523,0.460314
1758282343.363023,0.474032
1758282343.429523,0.490381
1758282343.496522,0.506974
1758282343.563022,0.525957
1758282343.629522,0.538603
1758282343.696522,0.547749
1758282343.763022,0.556989
1758282343.829522,0.568395
1758282343.896522,0.582071
1758282343.963022,0.597138
1758282344.029522,0.612897
1758282344.096522,0.627696
1758282344.163022,0.640330
1758282344.229522,0.651771
1758282344.296522,0.665087
1758282344.363022,0.681947
1758282344.429522,0.700882
1758282344.496521,0.715347
1758282344.563021,0.721869
1758282344.629521,0.725780
1758282344.696521,0.733111
1758282344.763021,0.742486
1758282344.829521,0.765492
1758282344.896521,0.784101
1758282344.963021,0.794383
1758282345.029521,0.803545
1758282345.096021,0.821257
1758282345.162521,0.840376
1758282345.229521,0.859451
1758282345.296021,0.873677
1758282345.362521,0.885898
1758282345.429521,0.892595
1758282345.496021,0.903240
1758282345.562521,0.927531
1758282345.629520,0.955649
1758282345.696020,0.978739
1758282345.762520,0.994527
1758282345.829520,1.000957
1758282345.896020,1.014660
1758282345.962520,1.044317
1758282346.029520,1.060532
1758282346.096020,1.063284
1758282346.162520,1.074600
1758282346.229520,1.102314
1758282346.296020,1.117341
1758282346.362520,1.122019
1758282346.429520,1.131495
1758282346.496020,1.142254
1758282346.562520,1.152266
1758282346.629519,1.160327
1758282346.696019,1.178182
1758282346.762519,1.190871
1758282346.829519,1.204666
1758282346.896019,1.236742
1758282346.962519,1.253882
1758282347.029519,1.270807
1758282347.096019,1.292017
1758282347.162519,1.300458
1758282347.229519,1.307046
1758282347.296019,1.309503
1758282347.362519,1.310241
1758282347.429519,1.311474
1758282347.496019,1.319920
1758282347.562519,1.326202
1758282347.629019,1.321424
1758282347.695518,1.339977
1758282347.762518,1.370285
1758282347.829018,1.396376
1758282347.895518,1.421738
1758282347.962518,1.439657
1758282348.029018,1.454079
1758282348.095518,1.460787
1758282348.162518,1.468793
1758282348.229018,1.480028
1758282348.295518,1.503017
1758282348.362518,1.535480
1758282348.429018,1.557445
1758282348.495518,1.567609
1758282348.562518,1.573272
1758282348.629018,1.574341
1758282348.695518,1.593424
1758282348.762517,1.609249
1758282348.829017,1.613347
1758282348.895517,1.623879
1758282348.962517,1.640319
1758282349.029017,1.655518
1758282349.095517,1.680681
1758282349.162517,1.684745
1758282349.229017,1.690466
1758282349.295517,1.699539
1758282349.362517,1.718824
1758282349.429017,1.760523
1758282349.495517,1.815102
1758282349.562517,1.848819
1758282349.629517,1.888919
1758282349.695517,1.932943
1758282349.762517,1.984705
1758282349.829517,2.027441
1758282349.895517,2.067147
1758282349.962517,2.086334
1758282350.029516,2.080724
1758282350.095516,2.072678
1758282350.162516,2.053740
1758282350.229516,2.041703
1758282350.295516,2.037522
1758282350.362016,2.030396
1758282350.428516,2.017459
1758282350.495516,2.014543
1758282350.562016,2.011056
1758282350.628516,2.007581
1758282350.695516,2.012219
1758282350.762016,2.033358
1758282350.828516,2.038716
1758282350.895516,2.033955
1758282350.962016,2.041703
1758282351.028516,2.048303
1758282351.095515,2.048303
1758282351.162515,2.051927
1758282351.229515,2.070831
1758282351.295515,2.083215
1758282351.362015,2.105881
1758282351.428515,2.136890
1758282351.495515,2.138196
1758282351.562015,2.140172
1758282351.628515,2.132310
1758282351.695515,2.132310
1758282351.762015,2.134920
1758282351.828515,2.135579
1758282351.895515,2.134269
1758282351.962515,2.139511
1758282352.028515,2.146766
1758282352.095515,2.157400
1758282352.162514,2.163432
1758282352.228514,2.173556
1758282352.295514,2.189950
1758282352.362514,2.207295
1758282352.428514,2.234912
1758282352.495514,2.264695
1758282352.562514,2.284749
1758282352.628514,2.297559
1758282352.695514,2.300589
1758282352.762514,2.303635
1758282352.828514,2.304394
1758282352.895514,2.306689
1758282352.962514,2.314352
1758282353.028514,2.320517
1758282353.095514,2.318970
1758282353.162513,2.325941
1758282353.228513,2.341576
1758282353.295513,2.359013
1758282353.362513,2.374290
1758282353.428513,2.388127
1758282353.495513,2.401294
1758282353.562513,2.412940
1758282353.628513,2.427233
1758282353.695013,2.445118
1758282353.761513,2.470263
1758282353.828513,2.471136
1758282353.895013,2.483472
1758282353.961513,2.509407
1758282354.028513,2.535899
1758282354.095013,2.542378
1758282354.161513,2.539591
1758282354.228513,2.536819
1758282354.295512,2.536819
1758282354.361512,2.532209
1758282354.428512,2.527615
1758282354.495512,2.522129
1758282354.561512,2.498606
1758282354.628512,2.481701
1758282354.695512,2.466762
1758282354.761512,2.453730
1758282354.828512,2.449416
1758282354.895512,2.442549
1758282354.961512,2.440835
1758282355.028512,2.443402
1758282355.095512,2.443402
1758282355.161512,2.456323
1758282355.228512,2.471136
1758282355.295512,2.493244
1758282355.361511,2.523958
1758282355.428511,2.562947
1758282355.495512,2.577168
1758282355.561511,2.585780
1758282355.628511,2.604148
1758282355.695511,2.609024
1758282355.762178,2.614895
1758282355.828845,2.617841
1758282355.895511,2.628712
1758282355.961511,2.628712
1758282356.028511,2.629700
1758282356.095511,2.627715
1758282356.161511,2.634672
1758282356.228511,2.636669
1758282356.295511,2.646685
1758282356.361511,2.660830
1758282356.428511,2.683379
1758282356.495511,2.695841
1758282356.561511,2.698972
1758282356.628510,2.701066
1758282356.695510,2.711579
1758282356.761510,2.734999
1758282356.828510,2.752282
1758282356.895510,2.773101
1758282356.962010,2.791996
1758282357.028510,2.797601
1758282357.094510,2.803229
1758282357.161510,2.796472
1758282357.228510,2.797601
1758282357.295510,2.797601
1758282357.362010,2.795354
1758282357.428510,2.774201
1758282357.494510,2.763198
1758282357.561510,2.759917
1758282357.628510,2.767593
1758282357.694510,2.780851
1758282357.761509,2.795354
1758282357.828509,2.793111
1758282357.895009,2.795354
1758282357.961509,2.803229
1758282358.028509,2.828256
1758282358.095009,2.838631
1758282358.161509,2.852581
1758282358.228509,2.854921
1758282358.295009,2.854921
1758282358.361509,2.843270
1758282358.428509,2.835168
1758282358.495009,2.832860
1758282358.561509,2.828256
1758282358.628509,2.819103
1758282358.695009,2.822527
1758282358.761508,2.804353
1758282358.828508,2.798721
1758282358.895008,2.804353
1758282358.961508,2.799841
1758282359.028508,2.787523
1758282359.095008,2.785292
1758282359.161508,2.776414
1758282359.228508,2.756643
1758282359.295008,2.736069
1758282359.361508,2.708419
1758282359.428508,2.684419
1758282359.495008,2.664906
1758282359.561508,2.644674
1758282359.628508,2.623762
1758282359.695008,2.601223
1758282359.761508,2.578127
1758282359.828507,2.557306
1758282359.895007,2.541446
1758282359.961507,2.523038
1758282360.028507,2.511218
1758282360.095007,2.500401
1758282360.161507,2.482582
1758282360.228007,2.467632
1758282360.294507,2.465892
1758282360.361507,2.458058
1758282360.428007,2.456323
1758282360.494507,2.469383
1758282360.561507,2.487013
1758282360.628007,2.506700
1758282360.694507,2.532209
1758282360.761507,2.573366
1758282360.828007,2.614895
1758282360.894506,2.650707
1758282360.961506,2.679257
1758282361.028006,2.700024
1758282361.094506,2.722174
1758282361.161006,2.745779
1758282361.227506,2.766488
1758282361.294506,2.785292
1758282361.361006,2.802095
1758282361.427506,2.813411
1758282361.494506,2.816821
1758282361.561006,2.822527
1758282361.627506,2.836318
1758282361.694506,2.844426
1758282361.761006,2.850244
1758282361.827506,2.858433
1758282361.894506,2.878512
1758282361.961005,2.925647
1758282362.027505,2.964242
1758282362.094505,2.964242
1758282362.161005,2.965498
1758282362.227505,2.962974
1758282362.294505,2.961719
1758282362.361505,2.952929
1758282362.427505,2.957949
1758282362.494505,2.946685
1758282362.561505,2.931802
1758282362.627505,2.921968
1758282362.694505,2.935506
1758282362.761505,2.925647
1758282362.827505,2.897662
1758282362.894505,2.864308
1758282362.961505,2.854921
1758282363.027504,2.834008
1758282363.094505,2.805478
1758282363.161505,2.784183
1758282363.227504,2.768689
1758282363.294504,2.749027
1758282363.361504,2.736069
1758282363.427504,2.721115
1758282363.494504,2.706313
1758282363.561504,2.684419
1758282363.627504,2.667965
1758282363.694004,2.654751
1758282363.760504,2.641667
1758282363.827504,2.632679
1758282363.894004,2.624747
1758282363.960504,2.618831
1758282364.027504,2.618831
1758282364.094504,2.614895
1758282364.161504,2.610972
1758282364.228004,2.602201
1758282364.294503,2.598315
1758282364.360503,2.587703
1758282364.427503,2.580039
1758282364.494503,2.576219
1758282364.560503,2.571464
1758282364.627503,2.566727
1758282364.694503,2.577168
1758282364.760503,2.577168
1758282364.827503,2.581944
1758282364.894503,2.591547
1758282364.961003,2.616862
1758282365.027503,2.632679
1758282365.094503,2.659819
1758282365.161003,2.697931
1758282365.227503,2.740378
1758282365.294502,2.775313
1758282365.361002,2.821388
1758282365.427502,2.853745
1758282365.494502,2.872578
1758282365.561002,2.878512
1758282365.627502,2.873758
1758282365.694502,2.874939
1758282365.761002,2.878512
1758282365.827502,2.871387
1758282365.894502,2.870209
1758282365.961002,2.864308
1758282366.027502,2.858433
1758282366.094502,2.843270
1758282366.161002,2.831713
1758282366.227502,2.830556
1758282366.294502,2.828256
1758282366.361001,2.827113
1758282366.427501,2.824818
1758282366.494501,2.824818
1758282366.561001,2.830556
1758282366.627501,2.832860
1758282366.694501,2.830556
1758282366.761001,2.830556
1758282366.827501,2.827113
1758282366.894001,2.827113
1758282366.960501,2.832860
1758282367.027501,2.823678
1758282367.094001,2.816821
1758282367.160501,2.812279
